QST-00001|Aap Paanchvi Fail Champu Hain?|Aap Paanchvi Fail Champu Hain?
LJ011-0159|At Manchester, en route, a traveling carriage was purchased, which was driven up to Mrs. Daulby's door at eight in the morning,|At Manchester, en route, a traveling carriage was purchased, which was driven up to Mrs. Daulby's door at eight in the morning,
LJ011-0160|and a servant hurriedly alighted from it, bearing a letter for Miss Turner.|and a servant hurriedly alighted from it, bearing a letter for Miss Turner.
LJ011-0161|This purported to be from the medical attendant of Mr. Turner, written at Shrigley, Mr. Turner's place of residence;|This purported to be from the medical attendant of Mr. Turner, written at Shrigley, Mr. Turner's place of residence;
LJ011-0162|and it stated that Mrs. Turner had been stricken with paralysis.|and it stated that Mrs. Turner had been stricken with paralysis.
LJ011-0163|She was not in immediate danger, but she wished to see her daughter, 'as it was possible she might soon become incapable of recognizing any one.'|She was not in immediate danger, but she wished to see her daughter, 'as it was possible she might soon become incapable of recognizing any one.'
LJ011-0164|Miss Turner, greatly agitated, accompanied the messenger who had brought this news, a disguised servant of Wakefield's,|Miss Turner, greatly agitated, accompanied the messenger who had brought this news, a disguised servant of Wakefield's,
LJ011-0165|who had plausibly explained that he had only recently been engaged at Shrigley.|who had plausibly explained that he had only recently been engaged at Shrigley.
LJ011-0166|The road taken was via Manchester, where the servant said a Dr. Hull was to be picked up to go on with them to Shrigley.|The road taken was via Manchester, where the servant said a Dr. Hull was to be picked up to go on with them to Shrigley.
LJ011-0167|At Manchester, however, the carriage stopped at the Albion Hotel.|At Manchester, however, the carriage stopped at the Albion Hotel.
LJ011-0168|Miss Turner was shown into a private room, where Mr. Wakefield soon presented himself.|Miss Turner was shown into a private room, where Mr. Wakefield soon presented himself.
LJ011-0169|Miss Turner, not knowing him, would have left the room, but he said he came from her father, and she remained.|Miss Turner, not knowing him, would have left the room, but he said he came from her father, and she remained.
LJ011-0170|Wakefield, in reply to her inquiries, satisfied her that her mother was well, and that the real reason for summoning her from school|Wakefield, in reply to her inquiries, satisfied her that her mother was well, and that the real reason for summoning her from school
LJ011-0171|was the state of her father's affairs.|was the state of her father's affairs.
LJ011-0172|Mr. Turner was on the verge of bankruptcy. He was at that moment at Kendal, and wished her to join him there at once.|Mr. Turner was on the verge of bankruptcy. He was at that moment at Kendal, and wished her to join him there at once.
LJ011-0173|Miss Turner consented to go on, and they traveled night and day towards the north.|Miss Turner consented to go on, and they traveled night and day towards the north.
LJ011-0174|But at Kendal there was no Mr. Turner, and, to allay Miss Turner's growing anxiety,|But at Kendal there was no Mr. Turner, and, to allay Miss Turner's growing anxiety,
LJ011-0175|Wakefield found it necessary to become more explicit regarding her father's affairs.|Wakefield found it necessary to become more explicit regarding her father's affairs.
LJ011-0176|He now pretended that Mr. Turner was also on his way to the border, pursued by sheriffs' officers.|He now pretended that Mr. Turner was also on his way to the border, pursued by sheriffs' officers.
LJ011-0177|The fact was, Wakefield went on to say, an uncle of his had advanced Mr. Turner £60,000, which had temporarily staved off ruin.|The fact was, Wakefield went on to say, an uncle of his had advanced Mr. Turner sixty thousand pounds, which had temporarily staved off ruin.
LJ011-0178|But another bank had since failed, and nothing could save Mr. Turner but the transfer of some property to Miss Turner, and its settlement on her,|But another bank had since failed, and nothing could save Mr. Turner but the transfer of some property to Miss Turner, and its settlement on her,
LJ011-0179|so that it might become the exclusive property of her husband, 'whoever he might be.'|so that it might become the exclusive property of her husband, 'whoever he might be.'
LJ011-0180|Wakefield added that it had been suggested he should marry Miss Turner, but that he had laughed at the idea.|Wakefield added that it had been suggested he should marry Miss Turner, but that he had laughed at the idea.
LJ011-0181|Wakefield's uncle took the matter more seriously, and declared that unless the marriage came off Mr. Turner must be sold up.|Wakefield's uncle took the matter more seriously, and declared that unless the marriage came off Mr. Turner must be sold up.
